source,section_number,section_name,section_position,store_index,store_id,object_id,mobile_asset_id,price,generation_lock,item_type,short_text_id,long_text_id,short_text_key,long_text_key,short_description,long_description,image_path,record_offset,notes
desktop_base,0,Living Room,0,22,506,45,,250,2,5,1390,1391,eString_ChairBeanbagBlueStdShortDesc,eString_ChairBeanbagBlueStdLongDesc,Blue Beanbag Chair,"Beanbag chairs? They're back! Comfy, portable, and just a little silly!",Furniture/ChairBeanbagBlueStd.png,0x14d080,
desktop_base,0,Living Room,1,23,507,46,,250,2,5,1392,1393,eString_ChairBeanbagBrownStdShortDesc,eString_ChairBeanbagBrownStdLongDesc,Brown Beanbag Chair,"Comfy, portable, and just a little silly!",Furniture/ChairBeanbagBrownStd.png,0x14d0ec,
desktop_base,0,Living Room,2,24,508,47,,250,2,5,1394,1395,eString_ChairBeanbagGreenStdShortDesc,eString_ChairBeanbagGreenStdLongDesc,Green Beanbag Chair,"Comfy, portable, and just a little silly!",Furniture/ChairBeanbagGreenStd.png,0x14d158,
desktop_base,0,Living Room,3,25,509,48,,350,2,5,1396,1397,eString_ChairBeanbagOrgStdShortDesc,eString_ChairBeanbagOrgStdLongDesc,Orange Beanbag Chair,"Comfy, portable, and just a little silly!",Furniture/ChairBeanbagOrgStd.png,0x14d1c4,
desktop_base,0,Living Room,4,26,510,49,,300,2,5,1398,1399,eString_ChairBeanbagRedStdShortDesc,eString_ChairBeanbagRedStdLongDesc,Red Beanbag Chair,"Comfy, portable, and just a little silly!",Furniture/ChairBeanbagRedStd.png,0x14d230,
desktop_base,0,Living Room,5,30,445,52,,750,3,5,1270,1271,eString_CouchBeigeStdShortDesc,eString_CouchBeigeStdLongDesc,Large Quality Couch,A luxurious three seat couch in beige.,Furniture/CouchBeigeStd.png,0x14d3e0,
desktop_base,0,Living Room,6,31,446,53,,700,3,5,1272,1273,eString_CouchBrownStdShortDesc,eString_CouchBrownStdLongDesc,Large Quality Couch,A luxurious three seat couch in brown.,Furniture/CouchBrownStd.png,0x14d44c,
desktop_base,0,Living Room,7,32,447,54,,1800,3,5,1274,1275,eString_CouchGoldStdShortDesc,eString_CouchGoldStdLongDesc,Large Quality Couch,A luxurious three seat couch in gold.,Furniture/CouchGoldStd.png,0x14d4b8,
desktop_base,0,Living Room,8,33,448,55,,850,3,5,1276,1277,eString_CouchLandLordGreenStdShortDesc,eString_CouchLandLordGreenStdLongDesc,Large Sturdy Couch,A three seat couch in that curious shade of green often seen in apartments and institutional settings.,Furniture/CouchLandlordGreenStd.png,0x14d524,
desktop_base,0,Living Room,9,34,449,56,,225,3,5,1278,1279,eString_CouchPlumbStdShortDesc,eString_CouchPlumbStdLongDesc,Large Quality Couch,A luxurious three seat couch in plum.,Furniture/CouchPlumbStd.png,0x14d590,
